식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1회 섭취참고량,식품중량,품목제조보고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
P123-305020100-0096,컷팅 세지멜론,P,가공식품,1,가공식품,23,즉석식품류,23305,기타 즉석식품,2300002,즉석섭취·편의식품류,230000201,신선편의식품,00,해당없음,100g,45,,1.50,0.00,,9.50,8.50,,,,,,16,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,,200g,2022051535635,청보푸드(주),해당없음,해당없음,N,,해당없음,2,수집,2026-05-20,2026-06-26,1471000,식품의약품안전처
P101-427000400-0131,컷팅 소보로빵,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01427,소보로빵,0100000,해당없음,010000004,빵류,00,해당없음,100g,353,,7.37,11.58,,54.74,17.89,,,,,,264,,,,,,,,,30.53,6.32,0.00,3,식품의약품안전처,70g,95g,19990248364476,(주)도투락식품,해당없음,해당없음,N,,해당없음,2,수집,2024-12-11,2026-06-26,1471000,식품의약품안전처
P109-600060300-0471,크롬바커 0.0  [병],P,가공식품,1,가공식품,09,음료류,09600,발효음료,0900006,발효음료류,090000603,기타발효음료,00,해당없음,100ml,29,,0.61,0.00,,6.67,3.33,,,,,,2,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,100ml,330ml,20DE1C300D2,KROMBACHER BRAUEREI BERNHARD SCHADEBERG GMBH & CO. KG,케이비코리아(주),해당없음,Y,276,독일,2,수집,2025-12-08,2026-06-26,1471000,식품의약품안전처
P123-305020100-0097,컷팅 스위탄 파파야,P,가공식품,1,가공식품,23,즉석식품류,23305,기타 즉석식품,2300002,즉석섭취·편의식품류,230000201,신선편의식품,00,해당없음,100g,90,,1.00,0.30,,21.00,15.00,,,,,,18,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,,200g,2022051535636,청보푸드(주),해당없음,해당없음,N,,해당없음,2,수집,2026-05-20,2026-06-26,1471000,식품의약품안전처
P109-600060300-0459,크롬바커 0.0  캔,P,가공식품,1,가공식품,09,음료류,09600,발효음료,0900006,발효음료류,090000603,기타발효음료,00,해당없음,100ml,28,,0.60,0.00,,6.40,3.20,,,,,,2,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,100ml,500ml,20DE1C300D2,KROMBACHER BRAUEREI BERNHARD SCHADEBERG GMBH & CO. KG,케이비코리아(주),해당없음,Y,276,독일,2,수집,2025-12-24,2026-06-26,1471000,식품의약품안전처
P101-405000400-6280,컷팅 스틱브레드,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01405,기타 빵,0100000,해당없음,010000004,빵류,00,해당없음,100g,308,,7.94,9.52,,47.62,12.70,,,,,,348,,,,,,,,,38.10,4.76,0.00,3,식품의약품안전처,70g,63g,19990248364474,(주)도투락식품,해당없음,해당없음,N,,해당없음,2,수집,2024-12-11,2026-06-26,1471000,식품의약품안전처
P109-600060300-0430,크롬바커 논 알코홀릭 바이젠,P,가공식품,1,가공식품,09,음료류,09600,발효음료,0900006,발효음료류,090000603,기타발효음료,00,해당없음,100ml,92,,2.00,0.00,,21.00,9.00,,,,,,10,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,100ml,330ml,24DE06E00D3,KROMBACHER BRAUEREI BERNHARD SCHADEBERG GMBH & CO. KG,케이비코리아(주),해당없음,Y,276,독일,2,수집,2024-03-20,2026-06-26,1471000,식품의약품안전처
P123-305020100-0098,컷팅 씨적은 수박,P,가공식품,1,가공식품,23,즉석식품류,23305,기타 즉석식품,2300002,즉석섭취·편의식품류,230000201,신선편의식품,00,해당없음,100g,38,,0.84,0.06,,8.40,7.25,,,,,,2,,,,,,,,,0.00,0.05,0.00,3,식품의약품안전처,,100g,20110368639276,대향유통(주) 1공장,해당없음,해당없음,N,,해당없음,2,수집,2026-05-22,2026-06-26,1471000,식품의약품안전처
P109-600060300-0390,크롬바커 논 알코홀릭 바이젠,P,가공식품,1,가공식품,09,음료류,09600,발효음료,0900006,발효음료류,090000603,기타발효음료,00,해당없음,100ml,28,,0.61,0.00,,6.36,2.73,,,,,,3,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,100ml,,15DE07000D3,KROMBACHER BRAUEREI BERNHARD SCHADEBERG GMBH & CO. KG,케이비코리아(주),해당없음,Y,276,독일,2,수집,2024-12-31,2026-06-26,1471000,식품의약품안전처
P123-305020100-0099,컷팅 씨적은 수박,P,가공식품,1,가공식품,23,즉석식품류,23305,기타 즉석식품,2300002,즉석섭취·편의식품류,230000201,신선편의식품,00,해당없음,100g,38,,1.00,0.00,,8.50,7.50,,,,,,2,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,,400g,2022051535650,청보푸드(주),해당없음,해당없음,N,,해당없음,2,수집,2026-05-26,2026-06-26,1471000,식품의약품안전처
